*Interval,Energy Price
1,1999.11
2,1999.35
3,1999.5
4,1999.44
5,1999.24
6,1999.01
7,1899.81
8,1899.55
9,1899.07
10,1899.03
11,1899.06
12,1800.55
13,1899.51
14,1899.69
15,1899.87
16,1900.1
17,1899.91
18,1899.98
19,1999.06
20,1999.32
21,2355.5
22,2538.69
23,2599.69
24,2808.62
25,3019.23
26,3419.26
27,3499.59
28,3699.44
29,3715.52
30,3959.21
31,4200.67
32,4100.29
33,4613.35
34,4613.28
35,5770.06
36,5770.11
37,5550.06
38,5550.3
39,5550.19
40,5250.47
41,4468.19
42,4599.04
43,4613.23
44,4350.2
45,3750.88
46,3900.86
47,3699.3
48,3569.79
49,3569.46
50,3569.09
51,3415.45
52,3170.64
53,2819.72
54,2819.37
55,2669.48
56,2649.24
57,2539.17
58,2559.34
59,2539
60,2559.06
61,2923.29
62,3000.39
63,3001.35
64,3250.2
65,3415.17
66,3500.4
67,3800.02
68,4359.45
69,4468.07
70,3959.67
71,3800.94
72,3800.02
73,4067.38
74,4469
75,4468.88
76,3991.03
77,3959.81
78,3991.19
79,4000.06
80,3899.31
81,3499.9
82,3449.87
83,3446.25
84,3446.03
85,3219.59
86,3000.5
87,2929.68
88,2819.37
89,2579.5
90,2579.56
91,2529.6
92,2505.44
93,2203.39
94,2202.41
95,2189.75
96,2149.47
97,2000.15
98,2000
99,1999.99
100,1999.84
101,1999.78
102,1999.6
103,1999.47
104,1999.3
105,1899.58
106,1899.63
107,1899.25
108,1899.15
109,1899.59
110,1899.76
111,1970.25
112,1899.91
113,1999.27
114,1999.5
115,1999.82
116,2036.46
117,2411.13
118,2505.74
119,2505.6
120,2599.08
121,3004.73
122,3479.68
123,3800.48
124,3969.92
125,3808.95
126,3959.77
127,4359.94
128,4468.07
129,4989.35
130,4100.69
131,4359.5
132,4989.08
133,4000.37
134,4200.92
135,4468.49
136,4500.89
137,3433.33
138,3699.16
139,3959.1
140,3499.88
141,3433.89
142,3381.19
143,3219.49
144,3202.87
145,2929.93
146,2950.88
147,2819.94
148,2819.08
149,2650.19
150,2539.6
151,2529.15
152,2430.59
153,2409.11
154,2409.72
155,2538.93
156,2539.61
157,2700.72
158,2819.82
159,3147.13
160,3349.16
161,3415.13
162,3415.85
163,3780.74
164,4000.6
165,3499.89
166,3849.15
167,3699.45
168,4000.54
169,4200.19
170,4468.11
171,3989.64
172,3989.62
173,3959.69
174,3900.34
175,3499.96
176,3479.92
177,3479.49
178,3449.56
179,3449.11
180,3099.97
181,2871.87
182,2869.33
183,2819.02
184,2599.91
185,2239.71
186,2300
187,2036.9
188,2036.63
189,1999.96
190,1999.94
191,1999.99
192,2000.24
193,1899.06
194,1800.74
195,1899.05
196,1739.13
197,1739.83
198,1724.28
199,1644.48
200,1641.92
201,1641.58
202,1641.9
203,1621.89
204,1621.68
205,1621.38
206,1621.19
207,1621.04
208,1621.29
209,1641.94
210,1799.49
211,1899.05
212,1899.17
213,1899.89
214,2239.82
215,2239.68
216,2499.34
217,2850.42
218,3415.05
219,3499.96
220,3899.45
221,3898.01
222,4200.64
223,4468.23
224,4350.09
225,4700.73
226,4989.2
227,6100.81
228,6100.89
229,6070.09
230,6070.4
231,6070.3
232,5790.31
233,5170.23
234,5170.22
235,5170
236,4500.17
237,4250.94
238,4250.68
239,4400.01
240,3959.89
241,3950.51
242,3969.65
243,3600.29
244,3435.72
245,3199.27
246,3050.23
247,3000.43
248,2869.3
249,2923.11
250,2869.29
251,2819.01
252,2819.89
253,3200.75
254,3375.62
255,3415.09
256,3415.68
257,3415.6
258,3499.59
259,3969.13
260,4100.17
261,3989.28
262,3989.82
263,3989.39
264,4800.23
265,5000.46
266,6399.03
267,5000.97
268,4468.89
269,4471.23
270,4468.77
271,3998.66
272,3898.08
273,3509.14
274,3509.22
275,3499.32
276,3339.33
277,3220.36
278,3099.28
279,3000.19
280,2746.92
281,2746.63
282,2669.62
283,2559.89
284,2500.91
285,2239.75
286,2239.1
287,2000.82
288,2000.19
289,1899.01
290,1899.07
291,1899.04
292,1724.78
293,1724.93
294,1724.31
295,1644.26
296,1641.32
297,1621.96
298,1641.31
299,1621.05
300,1600.69
301,1644.01
302,1644.91
303,1724.39
304,1724.4
305,1750.08
306,1899.51
307,1999.15
308,1999.69
309,2502.48
310,2539.77
311,2599.13
312,2819.13
313,3381.75
314,3600.54
315,4300.36
316,4700.42
317,4700.45
318,5000.69
319,5300.53
320,5300.32
321,5500.19
322,5800.03
323,6350.17
324,6350.1
325,5645.8
326,6280.01
327,6100.91
328,6070.02
329,4468.76
330,4549.36
331,5370.33
332,4980.77
333,4670.36
334,4670.19
335,4046.91
336,4468
337,3989.91
338,4270.02
339,3989.01
340,3770.14
341,3415.39
342,3300.81
343,3199.15
344,3050.11
345,2923.1
346,2819.92
347,2819.82
348,2819.51
349,2857.93
350,2923.27
351,3171.31
352,3317.17
353,3171.55
354,3465.78
355,3700.94
356,3701
357,3989.21
358,4872.22
359,5229.26
360,5312.5
361,5000.31
362,5999.59
363,5999.28
364,5500.54
365,5281.01
366,5120.12
367,4745.33
368,4000.82
369,3800.8
370,3500.57
371,3495.23
372,3493.84
373,3491.75
374,3298.59
375,3200.86
376,3000.03
377,2746.67
378,2700.4
379,2559.3
380,2239.15
381,2036.45
382,2036.9
383,2000
384,1999.92
385,1724.84
386,1699.98
387,1724.19
388,1700
389,1699.75
390,1699.63
391,1699.45
392,1699.4
393,1699.32
394,1699.33
395,1699.23
396,1699.23
397,1699.22
398,1699.23
399,1699.24
400,1699.27
401,1699.24
402,1699.4
403,1699.54
404,1699.75
405,1999.48
406,2399.58
407,2579.85
408,2819.11
409,3415.09
410,3730.41
411,4718.45
412,5500.46
413,5500.28
414,5900.2
415,5999.9
416,5643.03
417,5989.07
418,5000.02
419,4549.79
420,5000.38
421,4468.49
422,5645.15
423,5977.36
424,5645.97
425,4468.68
426,4549.8
427,4689.63
428,4870.2
429,4468.12
430,4302.7
431,4250.19
432,4250.42
