*Interval,Energy Price
1,2710.53
2,2710.1
3,2551.89
4,2539.66
5,2539.85
6,2539.67
7,2411.8
8,2411.97
9,2190.6
10,2320.25
11,1869.23
12,1869.25
13,1396
14,999.98
15,1619.04
16,1550.74
17,2033.92
18,2359.98
19,2710.68
20,2539.72
21,2551.7
22,2999.05
23,2509.43
24,2420.25
25,2999.65
26,3623.19
27,3479.11
28,3500.62
29,3509.9
30,3750.18
31,3850
32,3989.55
33,4110.94
34,4010.73
35,4468.55
36,5070.12
37,4830
38,5000.61
39,5000.51
40,5260.45
41,4999.47
42,5082.13
43,5505.69
44,5504.82
45,5507.27
46,5504.15
47,4468.09
48,4469
49,4468.56
50,4468.91
51,3868.76
52,3863.39
53,3408.5
54,3408.86
55,3337.03
56,3120.21
57,3337.56
58,3494
59,3151.9
60,3143.78
61,2999.83
62,2999.78
63,3000.82
64,3320.83
65,3415.27
66,3699.47
67,3899.87
68,3749.86
69,3416.57
70,3744.37
71,3510.71
72,3899.46
73,3689.85
74,3744.07
75,3470.69
76,3744.3
77,4065.73
78,3961.46
79,3423.63
80,3399.88
81,3479.02
82,3423.87
83,3120.72
84,3120.49
85,2999.06
86,2969.77
87,2599.14
88,2499.62
89,2720.01
90,2499.26
91,2200.65
92,2303.02
93,2139.62
94,2139.73
95,2270.78
96,2538.13
97,1699.8
98,1510.23
99,1619.13
100,1619.02
101,1499.1
102,1499.37
103,999.33
104,999.11
105,513.4
106,599.95
107,999.44
108,999.57
109,999.66
110,999.22
111,999.74
112,999.58
113,1449.4
114,1990.99
115,2100.04
116,2119.6
117,2162.84
118,2500.51
119,2100.04
120,2702.56
121,3381.9
122,3350.62
123,3279.54
124,3409.73
125,3479.02
126,3499.14
127,3510.54
128,3470.92
129,3434.06
130,3410.04
131,3510.15
132,3500.22
133,3479.88
134,3500.87
135,3434.21
136,3434.78
137,3415.9
138,3415.76
139,3479.92
140,3680.07
141,3434.05
142,3416.33
143,3060.36
144,3000.32
145,2999.44
146,2999.65
147,2999.34
148,3000.38
149,2623.04
150,2600.07
151,2361.83
152,2500.4
153,2412.58
154,2412.81
155,2502.68
156,2750.63
157,2708.26
158,2538.84
159,2999.89
160,2999.69
161,2999.57
162,3009.74
163,3423.16
164,3470.03
165,3337.02
166,3337.09
167,3047.23
168,2899.87
169,3479.6
170,3510.59
171,3479.35
172,3420.9
173,3499.28
174,3479.47
175,3120.94
176,3092.57
177,3120.77
178,3098.72
179,2999.27
180,2711.4
181,2600.74
182,2116.72
183,1988.12
184,1599.77
185,2924
186,2999.48
187,2418.8
188,2599.04
189,1619.5
190,1619.06
191,1200.8
192,997.71
193,1939.58
194,1670.4
195,1599.06
196,1200.37
197,1199.51
198,999.36
199,499.72
200,499.98
201,599.43
202,599.32
203,543.74
204,499.96
205,499.98
206,999.04
207,999.15
208,920.16
209,499.86
210,542
211,999.46
212,999.6
213,1550.12
214,2412.03
215,2599.71
216,2369.27
217,3220.39
218,3415.51
219,4219.22
220,5005.76
221,3979.81
222,4019.28
223,4468.69
224,4468.75
225,4468.47
226,4468.62
227,5564.73
228,6320
229,5501.62
230,5600.18
231,4622.19
232,4998
233,4500.36
234,4468.68
235,4947.43
236,4500.19
237,4468.29
238,4468.94
239,4100.72
240,4299.48
241,4000.12
242,4000.48
243,3849.21
244,3784.56
245,3415.93
246,3415.2
247,3500.3
248,3423.06
249,3143.6
250,3423.84
251,3680.73
252,3680.79
253,3750.58
254,3866.44
255,4000.98
256,4250.99
257,4468.58
258,4770.31
259,5070.57
260,5070.95
261,4959.92
262,5000.74
263,5505.06
264,6440.62
265,10000.55
266,10000.52
267,10100.64
268,10100.7
269,10000.85
270,10000.35
271,7709.07
272,6440.38
273,4860.18
274,4836.31
275,4431.41
276,3994.98
277,4468.06
278,3758.5
279,3479.25
280,3408.04
281,3300.89
282,3163.15
283,3163.61
284,2909.07
285,2520.66
286,2502.53
287,2520.25
288,2520.55
289,2859.39
290,2859.74
291,2302.59
292,2239.55
293,2300.92
294,0
295,2119.47
296,2309.32
297,2119.34
298,2119.62
299,2033.74
300,1759.05
301,1670.4
302,2119.25
303,2320.22
304,2199.5
305,2119.87
306,2119.82
307,1700.66
308,1700.11
309,2539.82
310,3004.7
311,3631.47
312,3163.12
313,3680.72
314,3989.97
315,4468.37
316,5600.56
317,5702.95
318,6407.56
319,5948.52
320,5130.74
321,6285.32
322,6603.8
323,4999.2
324,4820.64
325,4468.74
326,4782.61
327,5000.56
328,4820.94
329,5000.12
330,5000.36
331,6000.18
332,5658.94
333,6239.05
334,5944.84
335,5815.35
336,5123.04
337,4468.61
338,4468.88
339,5600.25
340,5600.71
341,3416.39
342,3415.66
343,3680.16
344,3680.09
345,3479.17
346,3600.38
347,3744.3
348,3744.04
349,3479.66
350,4120.74
351,4468.03
352,4468.04
353,4669.81
354,5000.99
355,5600.38
356,5600.82
357,5508.12
358,6000.31
359,6520.02
360,6520.66
361,7500.15
362,8888.02
363,8572.8
364,10000.24
365,10000.78
366,10000.58
367,7263.29
368,6283.73
369,4468.7
370,4836.37
371,4468.54
372,4468
373,4120.43
374,3423.47
375,3200.53
376,2999.64
377,2931.89
378,2999.38
379,3415.04
380,3415.1
381,2999.14
382,2599.92
383,2538.47
384,2502.33
385,2539.1
386,2499.52
387,2539.89
388,2410.03
389,2219.54
390,2219.81
391,2359.44
392,2359.3
393,2117.1
394,2320.05
395,2250.91
396,2033.06
397,1718.77
398,1726
399,2359.21
400,2320.81
401,2369.47
402,2379.53
403,2999.1
404,2999.84
405,2899.21
406,2899.5
407,2874.52
408,2999.43
409,3408.57
410,3700.54
411,3800.71
412,4468.1
413,3863.84
414,4150.88
415,3864.79
416,3864.26
417,4091.54
418,3899.73
419,3999.63
420,3999.85
421,3864.58
422,3867.99
423,4000.58
424,3979.21
425,4560.22
426,5977.58
427,5079.97
428,5079.45
429,4999.49
430,4999.58
431,4999.37
432,4999.22
433,4000.69
434,4000.19
435,3611.95
436,3499.66
437,3318.34
438,3318.84
439,3680.57
440,3680.26
441,3114
442,3114.32
443,2999.41
444,2999.88
445,3163.85
446,3198.66
447,3450.77
448,3409.96
449,3470.61
450,3711.62
451,4007.19
452,4001.87
453,3399.9
454,3499.01
455,3721.95
456,3899.37
457,3999.45
458,3872.96
459,3999.6
460,4288.96
461,3999.66
462,4850.77
463,3372.94
464,3200.75
465,3200.6
466,3415.56
467,3123.63
468,3002.16
469,3300.55
470,3123.13
471,2299.91
472,2299.27
473,2599.3
474,2821.67
475,2800.72
476,2538.56
477,2538.39
478,2412.9
479,2059.89
480,2000.3
481,2029.25
482,2117.92
483,2359.85
484,2359.16
485,1699.82
486,2033.49
487,1760.88
488,1842.61
489,1699.86
490,1950.17
491,1702.13
492,1699.52
493,1642.2
494,1642.45
495,1619.88
496,1642.21
497,1642.92
498,1842.91
499,1959.66
500,1990.61
501,2949.41
502,2999.68
503,2999.43
504,2999.92
505,3281.57
506,3744.67
507,3700.3
508,4003.58
509,3281.23
510,3700.53
511,3500.29
512,3500.99
513,3199.36
514,3199.66
515,4005.13
516,4003.37
517,3900.49
518,3899.15
519,3899.06
520,3900.68
521,4799.3
522,4409.5
523,4008.75
524,4005.78
525,4042.13
526,4004.77
527,3950.49
528,4005.33
529,3899.88
530,3899.96
531,3950.19
532,3899.21
533,3590.56
534,3590.83
535,3500.69
536,3423.1
537,3470.68
538,3680.2
