*Interval,Price (Rs./MWh)
97,3181.19
98,3136.24
99,3136.12
100,3058.25
101,2958.91
102,2958.0
103,2910.22
104,2870.78
105,2870.43
106,2870.38
107,2860.82
108,2860.65
109,2850.0
110,2822.86
111,2822.71
112,2822.56
113,2822.51
114,2860.31
115,2958.41
116,2958.46
117,3136.47
118,3136.43
119,3250.32
120,3457.89
121,4170.23
122,4350.41
123,4999.26
124,5499.39
125,5950.6
126,6000.48
127,6240.81
128,7000.06
129,6998.28
130,7000.39
131,8250.09
132,7998.93
133,6031.99
134,7720.32
135,7020.54
136,6000.29
137,6000.0
138,6000.21
139,6000.03
140,5730.36
141,4450.34
142,4427.61
143,4300.73
144,4222.21
145,4037.15
146,3750.82
147,3595.74
148,3500.49
149,3491.72
150,3500.2
151,3491.13
152,3450.8
153,3457.29
154,3457.23
155,3457.61
156,3595.09
157,3614.32
158,3719.42
159,3832.74
160,3832.11
161,3998.67
162,4222.64
163,4271.64
164,4500.41
165,4412.5
166,4391.55
167,4999.24
168,8250.67
169,8874.9
170,12000.0
171,12000.0
172,12000.0
173,12000.0
174,12000.0
175,12000.0
176,8874.84
177,5500.73
178,5730.49
179,5999.27
180,7600.25
181,4374.82
182,4320.3
183,4289.76
184,4222.64
185,3999.76
186,3832.21
187,3719.18
188,3719.96
189,3650.27
190,3650.12
191,3614.51
192,3595.76
3073,3250.55
3074,3186.61
3075,3250.08
3076,3136.91
3077,3058.51
3078,3001.9
3079,3000.52
3080,2999.09
3081,2990.34
3082,2969.1
3083,2958.21
3084,2910.78
3085,2870.96
3086,2870.48
3087,2870.56
3088,2870.87
3089,2910.98
3090,3000.62
3091,3058.56
3092,3136.47
3093,3251.0
3094,3457.15
3095,3595.18
3096,3680.25
3097,4230.41
3098,4503.27
3099,5250.27
3100,6499.58
3101,6690.05
3102,7150.62
3103,8874.67
3104,8250.67
3105,7300.2
3106,8251.0
3107,6250.83
3108,6690.1
3109,6099.66
3110,6500.96
3111,6999.66
3112,6500.47
3113,6770.2
3114,6500.75
3115,6500.15
3116,5730.72
3117,4999.6
3118,4999.94
3119,4650.89
3120,4412.34
3121,4264.67
3122,4222.15
3123,3832.82
3124,3607.03
3125,3500.85
3126,3312.44
3127,3250.71
3128,3250.46
3129,3250.54
3130,3200.68
3131,3136.94
3132,3250.24
3133,3548.76
3134,3595.3
3135,3680.03
3136,3719.29
3137,3614.93
3138,3802.98
3139,4037.32
3140,4222.96
3141,4000.63
3142,4037.97
3143,4600.25
3144,8250.19
3145,12000.0
3146,12000.0
3147,12000.0
3148,12000.0
3149,12000.0
3150,12000.0
3151,12000.0
3152,12000.0
3153,6099.18
3154,5999.93
3155,5999.67
3156,5999.96
3157,4790.51
3158,4512.7
3159,4412.26
3160,4266.11
3161,3832.88
3162,3790.52
3163,3614.3
3164,3595.76
3165,3595.79
3166,3595.84
3167,3595.06
3168,3491.8
5761,3310.09
5762,3250.35
5763,3200.71
5764,3136.69
5765,3058.26
5766,3001.21
5767,3000.59
5768,2999.63
5769,2988.47
5770,2969.85
5771,2958.59
5772,2958.48
5773,2958.32
5774,2958.08
5775,2958.08
5776,2958.32
5777,2958.8
5778,3001.75
5779,3058.45
5780,3136.95
5781,3310.52
5782,3595.27
5783,3595.98
5784,3614.66
5785,4250.66
5786,4500.24
5787,5250.13
5788,6100.65
5789,6100.11
5790,6690.1
5791,6999.41
5792,7999.47
5793,6999.11
5794,8255.89
5795,7700.2
5796,7700.23
5797,6000.27
5798,6099.87
5799,6500.34
5800,6099.71
5801,6099.15
5802,4999.79
5803,4770.81
5804,4503.91
5805,4411.6
5806,4411.51
