*Interval,Price (Rs./MWh)
961,2500.48
962,2500.06
963,1871.6
964,1989.05
965,2379.34
966,2300.36
967,1279.99
968,1871.16
969,1959.22
970,1959.09
971,1923.53
972,1699.54
973,1691.23
974,1549.9
975,1799.84
976,1799.62
977,1943.67
978,2500.11
979,1938.73
980,1921.73
981,1799.46
982,1799.99
983,3001.0
984,3400.97
985,2850.93
986,3500.24
987,3679.77
988,3779.05
989,3779.66
990,3800.74
991,3767.8
992,3700.9
993,3396.46
994,3200.6
995,3579.42
996,3500.47
997,3474.5
998,3586.4
999,3600.13
1000,3586.99
1001,2759.53
1002,2965.6
1003,3200.6
1004,3200.64
1005,3200.01
1006,3199.25
1007,3544.13
1008,3499.35
1009,2603.47
1010,2730.36
1011,2669.63
1012,2680.08
1013,2110.25
1014,2191.66
1015,2800.39
1016,2800.58
1017,3450.94
1018,3479.37
1019,3479.5
1020,3479.76
1021,3200.77
1022,3206.47
1023,3270.45
1024,3200.22
1025,3579.82
1026,3599.83
1027,3679.58
1028,3679.07
1029,3679.61
1030,3749.21
1031,3769.81
1032,3769.16
1033,3769.56
1034,4000.97
1035,4000.87
1036,3900.96
1037,3599.85
1038,3500.55
1039,3031.74
1040,2850.01
1041,2500.44
1042,2500.52
1043,3000.26
1044,2850.45
1045,3051.75
1046,3339.27
1047,3000.86
1048,2800.96
1049,2100.05
1050,2800.07
1051,1999.39
1052,1999.46
1053,1965.11
1054,2050.31
1055,1871.79
1056,1699.56
3937,1769.82
3938,1769.83
3939,2300.01
3940,2300.63
3941,2209.68
3942,2049.77
3943,1499.37
3944,1499.58
3945,1769.5
3946,1780.91
3947,2300.25
3948,2209.33
3949,2209.61
3950,2300.57
3951,2089.2
3952,2209.12
3953,2300.43
3954,2300.5
3955,0.0
3956,2209.41
3957,2850.04
3958,2800.94
3959,3409.52
3960,3479.78
3961,3679.74
3962,3586.9
3963,3798.84
3964,4000.74
3965,5000.28
3966,5000.3
3967,5010.6
3968,5010.34
3969,4999.89
3970,4689.26
3971,4678.38
3972,3850.57
3973,3579.56
3974,3599.5
3975,3399.25
3976,3200.46
3977,2969.77
3978,3049.92
3979,3369.97
3980,3399.4
3981,3369.35
3982,3500.39
3983,3579.55
3984,3500.52
3985,3399.09
3986,3399.61
3987,3120.74
3988,3199.58
3989,2759.24
3990,2687.57
3991,2483.76
3992,2483.6
3993,2759.54
3994,3100.09
3995,3100.79
3996,3199.62
3997,3399.58
3998,3300.46
3999,3599.58
4000,3650.67
4001,3880.0
4002,4141.66
4003,4526.78
4004,4500.91
4005,3725.76
4006,3800.15
4007,3779.09
4008,3700.18
4009,3750.08
4010,3999.15
4011,3762.88
4012,3700.8
4013,3769.3
4014,3940.46
4015,3479.66
4016,3400.82
4017,2964.96
4018,2979.8
4019,1974.8
4020,2850.27
4021,2850.9
4022,2850.83
4023,2795.4
4024,2600.55
4025,2679.89
4026,2300.01
4027,2000.57
4028,1999.56
4029,1940.18
4030,1672.51
4031,1559.91
4032,1559.82
6625,1505.14
6626,1508.75
6627,2210.88
6628,2108.0
6629,1997.24
6630,1997.71
6631,2049.18
6632,2049.65
6633,1194.23
6634,1196.72
6635,1498.58
6636,999.18
6637,499.54
6638,499.6
6639,1400.7
6640,1530.12
6641,1499.75
6642,1400.92
6643,1469.57
6644,500.0
6645,2000.99
6646,2409.17
6647,2500.66
6648,2773.8
6649,3050.34
6650,3479.99
6651,3779.25
6652,3711.36
6653,4000.97
6654,4520.33
6655,4000.61
6656,3586.92
6657,3579.8
6658,3579.28
6659,3449.15
6660,3359.55
6661,3479.67
6662,3379.18
6663,3536.61
6664,3479.48
6665,3579.93
6666,3679.27
6667,3586.32
6668,3586.76
6669,3679.45
6670,3579.01
6671,2859.99
6672,2859.28
6673,2850.24
6674,2850.12
6675,2801.97
6676,2800.81
6677,1895.0
6678,1974.51
6679,1974.77
6680,1999.81
6681,2850.8
6682,2850.66
6683,2850.89
6684,2850.73
6685,2940.3
6686,3359.95
6687,3351.51
6688,3479.47
6689,3479.45
6690,3479.22
6691,3479.99
6692,3479.76
6693,3449.9
6694,3544.05
6695,3351.19
6696,3351.79
6697,3599.45
6698,3999.21
6699,3500.64
6700,3500.12
6701,3449.46
6702,3351.61
6703,2850.66
6704,2849.86
6705,2255.19
6706,2255.68
6707,2850.49
6708,2850.71
6709,3359.53
6710,3203.52
6711,2850.5
6712,2599.15
6713,2594.0
6714,2383.25
6715,1974.3
6716,1999.88
6717,2019.04
6718,1780.01
6719,2259.71
6720,2101.44
9601,3479.51
9602,3479.6
9603,3000.33
9604,2993.04
9605,2409.29
9606,2154.7
9607,1709.42
9608,1968.29
9609,2100.1
9610,2209.29
9611,1724.62
9612,1707.42
9613,1759.88
9614,1499.75
9615,1877.0
9616,1709.97
9617,1600.91
9618,2084.8
9619,2483.18
9620,2369.17
9621,2771.06
9622,3201.39
9623,2009.84
9624,2483.77
9625,3679.07
9626,4011.0
9627,4075.37
9628,4440.53
