Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
        1.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2890.56,     2500.38
        2.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2771.61,     2650.55
        3.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2750.58,     2691.84
        4.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2543.42,     2450.92
        5.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2543.25,     2450.71
        6.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2543.16,     2450.38
        7.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2450.00,     2450.68
        8.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2449.45,     2650.67
        9.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2449.57,     2650.52
       10.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2449.34,     2600.03
       11.00,      500.00,        0.00,        0.00,      615.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2419.99,     2650.86
       12.00,      500.00,        0.00,        0.00,      730.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2419.16,     2450.44
       13.00,      500.00,        0.00,        0.00,      845.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2360.82,     2450.54
       14.00,        0.00,        0.00,        0.00,      845.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2449.27,     2450.34
       15.00,      173.91,        0.00,        0.00,      885.00,        0.00,        0.00,      173.91,        0.00,        0.00,        0.00,     2449.02,     2450.32
       16.00,        0.00,        0.00,        0.00,      885.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2449.30,     2450.30
       17.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2360.90,     2768.73
       18.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2540.95,     3500.89
       19.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2595.41,     3501.84
       20.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2768.75,     3501.55
       21.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2939.00,     2600.87
       22.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3428.40,     3229.03
       23.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3726.43,     3570.83
       24.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3814.93,     3039.88
       25.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4270.70,     3774.84
       26.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4680.35,     4260.91
       27.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.42,     5529.62
       28.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6509.36,     5529.23
       29.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5500.69,     4900.39
       30.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6500.20,     5799.15
       31.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7680.51,     5400.30
       32.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.38,     5799.55
       33.00,        0.00,        0.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8392.51,     5000.43
       34.00,        0.00,        0.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.14,     5529.39
       35.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.52,     6000.16
       36.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.72,     6000.01
       37.00,        0.00,        0.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.07,     6000.14
       38.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.68,     6000.34
       39.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.91,     8200.28
       40.00,        0.00,      500.00,        0.00,      184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.94,     8200.14
       41.00,        0.00,      500.00,        0.00,       48.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8400.48,     8753.09
