Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
        1.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2301.03,     2375.60
        2.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2300.12,     2362.10
        3.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2298.10,     2340.93
        4.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2243.24,     2340.88
        5.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2131.71,     2354.05
        6.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2106.41,     2399.45
        7.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2100.30,     2360.60
        8.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2050.43,     2360.30
        9.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2015.74,     2299.34
       10.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2015.56,     2303.10
       11.00,      500.00,        0.00,        0.00,      615.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2000.50,     2239.80
       12.00,      500.00,        0.00,        0.00,      730.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2000.97,     2229.78
       13.00,        0.00,        0.00,        0.00,      730.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2009.21,     2095.00
       14.00,      173.91,        0.00,        0.00,      770.00,        0.00,        0.00,      173.91,        0.00,        0.00,        0.00,     2009.08,     2178.51
       15.00,        0.00,        0.00,        0.00,      770.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2015.15,     2186.47
       16.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1999.85,     2190.66
       17.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1999.28,     2261.92
       18.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2050.54,     2299.13
       19.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2015.89,     2170.48
       20.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2089.19,     2175.38
       21.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2301.15,     2319.87
       22.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2303.05,     2319.88
       23.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2302.09,     2326.60
       24.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2300.27,     2328.60
       25.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2718.06,     2399.66
       26.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2718.91,     2750.79
       27.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2809.56,     3000.58
       28.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2962.71,     3000.40
       29.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3089.69,     3218.90
       30.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3711.70,     3249.03
       31.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.46,     3499.52
       32.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5700.17,     3900.22
       33.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5700.48,     4803.86
       34.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5700.96,     5506.94
       35.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.87,     6500.00
       36.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.87,     5000.96
       37.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6900.07,     6500.22
       38.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.99,     6500.42
       39.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.81,     6500.50
       40.00,        0.00,      500.00,        0.00,      184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.73,     6500.43
       41.00,        0.00,      500.00,        0.00,       48.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.11,     6500.59
       42.00,        0.00,      180.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5900.12,     6500.61
       43.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5000.78,     6500.56
       44.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5000.55,     6500.35
       45.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.61,     5000.75
       46.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.70,     4989.46
       47.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.72,     5999.28
       48.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.23,     4500.70
       49.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.10,     4444.59
       50.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.68,     6199.07
       51.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3747.28,     4989.57
       52.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3660.88,     3768.89
       53.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3033.60,     3768.29
       54.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2989.86,     3499.99
       55.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2989.74,     3397.34
       56.00,       44.42,        0.00,        0.00,       10.22,        0.00,        0.00,       44.42,        0.00,        0.00,        0.00,     2989.28,     3323.29
       57.00,        0.00,        0.00,        0.00,       10.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2989.57,     3449.42
       58.00,      500.00,        0.00,        0.00,      125.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2962.33,     3462.64
       59.00,      500.00,        0.00,        0.00,      240.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2942.99,     3500.11
       60.00,      500.00,        0.00,        0.00,      355.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2900.69,     3449.78
       61.00,      500.00,        0.00,        0.00,      470.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2809.91,     3218.13
