Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (Binary),Cool Down Period 1 (MW-h),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase ($/MWh)
        1.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.11,     2710.53
        2.00,        0.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.35,     2710.10
        3.00,        0.00,      500.00,        0.00,      364.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.50,     2551.89
        4.00,        0.00,      420.00,        0.00,      250.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.44,     2539.66
        5.00,        0.00,        0.00,        0.00,      250.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.24,     2539.85
        6.00,        0.00,        0.00,        0.00,      250.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.01,     2539.67
        7.00,        0.00,        0.00,        0.00,      250.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.81,     2411.80
        8.00,      500.00,        0.00,        0.00,      365.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.55,     2411.97
        9.00,      500.00,        0.00,        0.00,      480.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.07,     2190.60
       10.00,      500.00,        0.00,        0.00,      595.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.03,     2320.25
       11.00,      500.00,        0.00,        0.00,      710.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.06,     1869.23
       12.00,      500.00,        0.00,        0.00,      825.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1800.55,     1869.25
       13.00,      500.00,        0.00,        0.00,      940.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.51,     1396.00
       14.00,      260.87,        0.00,        0.00,     1000.00,        0.00,        0.00,      260.87,        0.00,        0.00,        0.00,     1899.69,      999.98
       15.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.87,     1619.04
       16.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1900.10,     1550.74
       17.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.91,     2033.92
       18.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1899.98,     2359.98
       19.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.06,     2710.68
       20.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.32,     2539.72
