Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
        1.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2710.53,     2710.53
        2.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2710.10,     2710.10
        3.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2551.89,     2551.89
        4.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2539.66,     2539.66
        5.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2539.85,     2539.85
        6.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2539.67,     2539.67
        7.00,      500.00,        0.00,        0.00,      843.26,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2411.80,     2411.80
        8.00,       29.30,        0.00,        0.00,      850.00,        0.00,        0.00,       29.30,        0.00,        0.00,        0.00,     2411.97,     2411.97
        9.00,      500.00,        0.00,        0.00,      965.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2190.60,     2190.60
       10.00,      500.00,        0.00,        0.00,     1080.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2320.25,     2320.25
       11.00,      500.00,        0.00,        0.00,     1195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1869.23,     1869.23
       12.00,      500.00,        0.00,        0.00,     1310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1869.25,     1869.25
       13.00,      500.00,        0.00,        0.00,     1425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1396.00,     1396.00
       14.00,      500.00,        0.00,        0.00,     1540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,      999.98,      999.98
       15.00,      500.00,        0.00,        0.00,     1655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1619.04,     1619.04
