Run on a UNIX machine on 12/12/24 21:42:33.
Optimal solution found within time limit:,Yes

Device Number,1           ,
Renewable Capacity (MW),        0.00,
Renewable Penetration for Input (%),         0.00
interval length (hours),         0.25
operating period length (hours),      2920.00
additional look-ahead (hours),         0.00
output capacity (MW),       500.00,
input capacity (MW),       500.00,
storage capacity (hours),         4.00,
input efficiency (%),         0.92,
output efficiency (%),         0.92,
input heat rate (MMBtu/MWh),         0.00,
ouptut heat rate (MMBtu/MWh),         0.00,
variable O&M cost,         0.00
regulation cost,         0.00
hydrogen use,         0.00,

input
LSL limit fraction,         0.00,
reg up limit fraction,         0.00,
reg down limit fraction,         0.00,
spining reserve limit fraction,         0.00,
startup cost ($/MW-start),         0.00,
minimum run intervals,         0.00

output
LSL limit fraction,         0.00,
reg up limit fraction,         0.00,
reg down limit fraction,         0.00,
spining reserve limit fraction,         0.00,
startup cost ($/MW-start),         0.00,
minimum run intervals,         0.00

actual operating profit ($), 2.8236853E+9
total electricity input (MWh),   1155818.76
total electricity output (MWh),    979205.00
output to input ratio,         0.85
input capacity factor,         0.26
output capacity factor,         0.22
average regup (MW),         0.00,
average regdn (MW),         0.00,
average spinres (MW),         0.00,
average nonspinres (MW),         0.00,
number of input power system starts,     35040.00,
number of output power system starts,     35040.00,
arbitrage revenue ($),2.8236853E+9,
regup revenue ($),         0.00,
regdn revenue ($),         0.00,
spinres revenue ($),         0.00,
nonspinres revenue ($),         0.00,
hydrogen revenue ($),         0.00,
REC revenue ($),         0.00
LCFS revenue ($),         0.00
startup costs ($),         0.00,
Fixed demand charge ($),         0.00
Timed demand charge 1 ($),         0.00
Timed demand charge 2 ($),         0.00
Timed demand charge 3 ($),         0.00
Timed demand charge 4 ($),         0.00
Timed demand charge 5 ($),         0.00
Timed demand charge 6 ($),         0.00
Meter cost ($),         0.00
Renewable capital cost ($),         0.00,
Input capital cost ($),         0.00,
Output capital cost ($),         0.00,
Hydrogen storage cost ($),         0.00,
Renewable FOM cost ($),         0.00,
Input FOM cost ($),         0.00,
Output FOM cost ($),         0.00,
Renewable VOM cost ($),         0.00,
Input VOM cost ($),         0.00
Output VOM cost ($),         0.00
Renewable sales ($),         0.00,
Renewable Penetration net meter (%),         0.00
Curtailment (MWh),         0.00
Storage revenue ($), 4.0539595E+9,
Renewable only revenue ($),         0.00
Renewable max revenue ($),         0.00
Renewable Electricity Input (MWh),         0.00
Input Electricity Import (MWh),   1155818.76,
Integer device adjustment,         0.00,

